city,timestamp,temperature,cloud_cover,cloud_cover_description,pressure,windspeed,precipitation,felt_temperature
Burbank,2018-01-01 08:53:00,9.0,33.0,Fair,991.75,9.0,0.0,8.0
Burbank,2018-01-01 09:53:00,9.0,33.0,Fair,992.08,0.0,0.0,9.0
Burbank,2018-01-01 10:53:00,9.0,21.0,Haze,992.08,0.0,0.0,9.0
Burbank,2018-01-01 11:53:00,9.0,29.0,Partly Cloudy,992.08,0.0,0.0,9.0
Burbank,2018-01-01 12:53:00,8.0,33.0,Fair,992.08,0.0,0.0,8.0
Burbank,2018-01-01 13:53:00,8.0,33.0,Fair,992.08,0.0,0.0,8.0
Burbank,2018-01-01 14:53:00,7.0,30.0,Partly Cloudy,992.08,0.0,0.0,7.0
Burbank,2018-01-01 15:53:00,8.0,34.0,Fair,992.41,0.0,0.0,8.0
Burbank,2018-01-01 16:53:00,12.0,34.0,Fair,993.39,0.0,0.0,12.0
Burbank,2018-01-01 17:53:00,16.0,34.0,Fair,994.05,0.0,0.0,16.0
Burbank,2018-01-01 18:53:00,19.0,34.0,Fair,993.72,0.0,0.0,19.0
Burbank,2018-01-01 19:53:00,21.0,34.0,Fair,992.41,7.0,0.0,21.0
Burbank,2018-01-01 20:53:00,22.0,34.0,Fair,991.09,0.0,0.0,22.0
Burbank,2018-01-01 21:53:00,23.0,34.0,Fair,990.1,6.0,0.0,23.0
Burbank,2018-01-01 22:53:00,23.0,34.0,Fair,990.43,7.0,0.0,23.0
Burbank,2018-01-01 23:53:00,21.0,28.0,Mostly Cloudy,990.76,6.0,0.0,21.0
Burbank,2018-01-02 00:53:00,19.0,26.0,Cloudy,990.76,6.0,0.0,19.0
Burbank,2018-01-02 01:53:00,17.0,27.0,Mostly Cloudy,991.42,13.0,0.0,17.0
Burbank,2018-01-02 02:53:00,15.0,29.0,Partly Cloudy,992.08,11.0,0.0,15.0
Burbank,2018-01-02 03:53:00,14.0,29.0,Partly Cloudy,992.08,0.0,0.0,14.0
Burbank,2018-01-02 04:53:00,14.0,21.0,Haze,992.08,0.0,0.0,14.0
Burbank,2018-01-02 05:53:00,13.0,21.0,Haze,992.73,0.0,0.0,13.0
Burbank,2018-01-02 06:53:00,12.0,21.0,Haze,992.73,0.0,0.0,12.0
Burbank,2018-01-02 07:53:00,12.0,21.0,Haze,992.73,6.0,0.0,12.0
Burbank,2018-01-02 08:53:00,12.0,33.0,Fair,992.73,0.0,0.0,12.0
Burbank,2018-01-02 09:53:00,12.0,33.0,Fair,992.73,0.0,0.0,12.0
Burbank,2018-01-02 10:53:00,12.0,33.0,Fair,992.41,0.0,0.0,12.0
Burbank,2018-01-02 11:53:00,12.0,33.0,Fair,992.41,0.0,0.0,12.0
Burbank,2018-01-02 12:53:00,12.0,33.0,Fair,992.73,0.0,0.0,12.0
Burbank,2018-01-02 13:53:00,13.0,26.0,Cloudy,992.73,0.0,0.0,13.0
Burbank,2018-01-02 14:53:00,12.0,26.0,Cloudy,993.06,0.0,0.0,12.0
Burbank,2018-01-02 15:53:00,12.0,34.0,Fair,992.41,9.0,0.0,12.0
Burbank,2018-01-02 16:53:00,13.0,21.0,Haze,993.06,7.0,0.0,13.0
Burbank,2018-01-02 17:53:00,16.0,34.0,Fair,993.06,0.0,0.0,16.0
Burbank,2018-01-02 18:53:00,18.0,21.0,Haze,992.41,0.0,0.0,18.0
Burbank,2018-01-02 19:53:00,22.0,34.0,Fair,991.42,0.0,0.0,22.0
Burbank,2018-01-02 20:53:00,24.0,30.0,Partly Cloudy,990.1,6.0,0.0,24.0
Burbank,2018-01-02 21:53:00,27.0,30.0,Partly Cloudy,989.44,6.0,0.0,26.0
Burbank,2018-01-02 22:53:00,27.0,34.0,Fair,989.44,6.0,0.0,26.0
Burbank,2018-01-02 23:53:00,25.0,30.0,Partly Cloudy,989.44,6.0,0.0,25.0
Burbank,2018-01-03 00:53:00,23.0,26.0,Cloudy,989.44,0.0,0.0,23.0
Burbank,2018-01-03 01:53:00,20.0,27.0,Mostly Cloudy,989.44,0.0,0.0,20.0
Burbank,2018-01-03 02:53:00,21.0,26.0,Cloudy,989.77,6.0,0.0,21.0
Burbank,2018-01-03 03:53:00,19.0,26.0,Cloudy,989.77,0.0,0.0,19.0
Burbank,2018-01-03 04:53:00,17.0,27.0,Mostly Cloudy,990.1,6.0,0.0,17.0
Burbank,2018-01-03 05:53:00,18.0,27.0,Mostly Cloudy,990.43,7.0,0.0,18.0
Burbank,2018-01-03 06:53:00,17.0,27.0,Mostly Cloudy,990.43,9.0,0.0,17.0
Burbank,2018-01-03 07:53:00,18.0,27.0,Mostly Cloudy,990.1,7.0,0.0,18.0
Burbank,2018-01-03 08:53:00,17.0,29.0,Partly Cloudy,989.77,0.0,0.0,17.0
Burbank,2018-01-03 09:53:00,15.0,33.0,Fair,990.1,0.0,0.0,15.0
Burbank,2018-01-03 10:53:00,14.0,33.0,Fair,989.77,0.0,0.0,14.0
Burbank,2018-01-03 11:53:00,13.0,29.0,Partly Cloudy,989.77,0.0,0.0,13.0
Burbank,2018-01-03 12:53:00,13.0,27.0,Mostly Cloudy,989.11,7.0,0.0,13.0
Burbank,2018-01-03 13:53:00,14.0,27.0,Mostly Cloudy,989.44,0.0,0.0,14.0
Burbank,2018-01-03 14:53:00,12.0,30.0,Partly Cloudy,989.77,0.0,0.0,12.0
Burbank,2018-01-03 15:53:00,13.0,28.0,Mostly Cloudy,990.1,0.0,0.0,13.0
